ta,ss_108,ss_112,ss_133,ss_143,ss_152,ss_156,ss_159,hm_108,hm_112,hm_133,hm_143,hm_152,hm_156,hm_159,rn_108,rn_112,rn_133,rn_143,rn_152,rn_156,rn_159
2.6714285714285713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22,36,38,21,18,50,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5142857142857145,1.0,1.0,0.7,0.9,0.8,0.9,1.0,32,42,46,21,19,55,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5142857142857145,1.0,1.0,0.7,0.9,0.8,0.9,1.0,32,42,46,21,19,55,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5142857142857145,1.0,1.0,0.7,0.9,0.8,0.9,1.0,32,42,46,21,19,55,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28571428571428586,0.1,0.3,0.0,0.0,0.0,0.1,0.0,37,44,49,25,21,59,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28571428571428586,0.1,0.3,0.0,0.0,0.0,0.1,0.0,37,44,49,25,21,59,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28571428571428586,0.1,0.3,0.0,0.0,0.0,0.1,0.0,37,44,49,25,21,59,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.35714285714285704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,48,52,28,21,62,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.35714285714285704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,48,52,28,21,62,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.35714285714285704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,48,52,28,21,62,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,55,54,32,21,62,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,55,54,32,21,62,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,55,54,32,21,62,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,55,54,32,21,62,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,55,54,32,21,62,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,55,54,32,21,62,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,55,54,32,21,62,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,55,54,32,21,62,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,55,54,32,21,62,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.5857142857142859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,56,57,34,26,66,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.5857142857142859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,56,57,34,26,66,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.5857142857142859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,56,57,34,26,66,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.5857142857142859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,56,57,34,26,66,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.5857142857142859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,56,57,34,26,66,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.5857142857142859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,56,57,34,26,66,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.9000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,50,59,39,27,68,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.9000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,50,59,39,27,68,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
